size_name,size_val,4 запроса по 256K,4 запроса по 512K,8 запроса по 256K,8 запроса по 512K,cp
128K,131072,0.03764925684247698,0.03434933934892927,0.043974876403808594,0.03658325331551688,0.009765522820608956
256K,262144,0.04035404750279018,0.03480492319379534,0.04065769059317453,0.0519073350088937,0.005312034061976841
384K,393216,0.035205330167497904,0.03262165614536831,0.03595931189400809,0.03298647063119071,0.002356733594621931
512K,524288,0.029875687190464566,0.0373342718396868,0.033721821648733954,0.04154130390712193,0.005326986312866211
640K,655360,0.037434441702706475,0.03570416995457241,0.033339125769478936,0.03316657883780343,0.0052264077322823664
768K,786432,0.032112257821219306,0.0363741261618478,0.0405033997126988,0.0321044921875,0.0029596941811697824
896K,917504,0.03594858305794852,0.0326009818485805,0.09607924733843122,0.03648996353149414,0.01760751860482352
1M,1048576,0.03097404752458845,0.053937435150146484,0.03712568964276995,0.049679313387189596,0.006978750228881836
32M,33554432,0.5281557696206229,0.32489207812717985,0.5528685365404401,0.5210455826350621,0.3841724395751953
64M,67108864,0.7966236046382359,1.2824476105826241,1.0731823444366455,1.326679263796125,1.223381417138236
96M,100663296,1.6229985100882394,1.5004031658172607,1.336146354675293,1.0581988266536169,1.4283345426831926
128M,134217728,1.3716706207820348,1.7034262589045934,2.398047821862357,2.501444101333618,1.9049230303083147
